"year","population","state"
2009,9620846,"Georgia"
2009,1346717,"Hawaii"
2009,3032870,"Iowa"
2009,1554439,"Idaho"
2009,12796778,"Illinois"
2009,6459325,"Indiana"
2009,2832704,"Kansas"
2009,4317074,"Kentucky"
2009,4491648,"Louisiana"
2009,6517613,"Massachusetts"
2009,5730388,"Maryland"
2009,1329590,"Maine"
2009,9901591,"Michigan"
2009,5281203,"Minnesota"
2009,5961088,"Missouri"
2009,2958774,"Mississippi"
2009,983982,"Montana"
2009,9449566,"North Carolina"
2009,664968,"North Dakota"
2009,1812683,"Nebraska"
2009,1316102,"New Hampshire"
2009,8755602,"New Jersey"
2009,2036802,"New Mexico"
2009,2684665,"Nevada"
2009,19307066,"New York"
2009,11528896,"Ohio"
2009,3717572,"Oklahoma"
2009,3808600,"Oregon"
2009,12666858,"Pennsylvania"
2009,1053646,"Rhode Island"
2009,4589872,"South Carolina"
2009,807067,"South Dakota"
2009,6306019,"Tennessee"
2009,24801761,"Texas"
2009,2723421,"Utah"
2009,7925937,"Virginia"
2009,624817,"Vermont"
2009,6667426,"Washington"
2009,5669264,"Wisconsin"
2009,1847775,"West Virginia"
2009,559851,"Wyoming"
2010,713982,"Alaska"
2010,4785514,"Alabama"
2010,2921998,"Arkansas"
2010,6407342,"Arizona"
2010,37319550,"California"
2010,5047539,"Colorado"
2010,3579173,"Connecticut"
2010,605282,"District of Columbia"
2010,899647,"Delaware"
2010,18846143,"Florida"
2010,9712209,"Georgia"
2010,1364004,"Hawaii"
2010,3050819,"Iowa"
2010,1570819,"Idaho"
2010,12840545,"Illinois"
2010,6490555,"Indiana"
2010,2858266,"Kansas"
2010,4348464,"Kentucky"
2010,4544635,"Louisiana"
2010,6566440,"Massachusetts"
2010,5788784,"Maryland"
2010,1327651,"Maine"
2010,9877597,"Michigan"
2010,5310934,"Minnesota"
2010,5996089,"Missouri"
2010,2970615,"Mississippi"
2010,990730,"Montana"
2010,9574586,"North Carolina"
2010,674752,"North Dakota"
2010,1829591,"Nebraska"
2010,1316807,"New Hampshire"
2010,8799451,"New Jersey"
2010,2064614,"New Mexico"
2010,2702483,"Nevada"
2010,19399956,"New York"
2010,11539449,"Ohio"
2010,3760014,"Oklahoma"
2010,3837614,"Oregon"
2010,12711406,"Pennsylvania"
2010,1053994,"Rhode Island"
2010,4635846,"South Carolina"
2010,816193,"South Dakota"
2010,6355518,"Tennessee"
2010,25241897,"Texas"
2010,2775413,"Utah"
2010,8024004,"Virginia"
2010,625886,"Vermont"
2010,6743009,"Washington"
2010,5690538,"Wisconsin"
2010,1854265,"West Virginia"
2010,564531,"Wyoming"
2011,722349,"Alaska"
2011,4799642,"Alabama"
2011,2941038,"Arkansas"
2011,6473416,"Arizona"
2011,37636311,"California"
2011,5121900,"Colorado"
2011,3588632,"Connecticut"
2011,620290,"District of Columbia"
2011,907590,"Delaware"
2011,19055607,"Florida"
2011,9803630,"Georgia"
2011,1379562,"Hawaii"
2011,3066772,"Iowa"
2011,1584272,"Idaho"
2011,12867783,"Illinois"
2011,6517250,"Indiana"
2011,2869677,"Kansas"
2011,4370817,"Kentucky"
2011,4576244,"Louisiana"
2011,6614218,"Massachusetts"
2011,5840241,"Maryland"
2011,1328473,"Maine"
2011,9883053,"Michigan"
2011,5346620,"Minnesota"
2011,6011182,"Missouri"
2011,2979147,"Mississippi"
2011,997518,"Montana"
2011,9658913,"North Carolina"
2011,685526,"North Dakota"
2011,1840914,"Nebraska"
2011,1320444,"New Hampshire"
2011,8828552,"New Jersey"
2011,2080707,"New Mexico"
2011,2713114,"Nevada"
2011,19499921,"New York"
2011,11545735,"Ohio"
2011,3788824,"Oklahoma"
2011,3872672,"Oregon"
2011,12747052,"Pennsylvania"
2011,1053829,"Rhode Island"
2011,4672655,"South Carolina"
2011,823740,"South Dakota"
2011,6400298,"Tennessee"
2011,25645504,"Texas"
2011,2814797,"Utah"
2011,8102437,"Virginia"
2011,627197,"Vermont"
2011,6827479,"Washington"
2011,5705840,"Wisconsin"
2011,1856606,"West Virginia"
2011,567491,"Wyoming"
2012,730810,"Alaska"
2012,4816632,"Alabama"
2012,2952876,"Arkansas"
2012,6556344,"Arizona"
2012,37944551,"California"
2012,5193660,"Colorado"
2012,3595211,"Connecticut"
2012,635737,"District of Columbia"
2012,915518,"Delaware"
2012,19302016,"Florida"
2012,9903580,"Georgia"
2012,1395199,"Hawaii"
2012,3076844,"Iowa"
2012,1595910,"Idaho"
2012,12883029,"Illinois"
2012,6538989,"Indiana"
2012,2886024,"Kansas"
2012,4387865,"Kentucky"
2012,4602067,"Louisiana"
2012,6664269,"Massachusetts"
2012,5888375,"Maryland"
2012,1328094,"Maine"
2012,9898289,"Michigan"
2012,5377500,"Minnesota"
2012,6026027,"Missouri"
2012,2984599,"Mississippi"
2012,1004168,"Montana"
2012,9751810,"North Carolina"
2012,702227,"North Dakota"
2012,1853691,"Nebraska"
2012,1324677,"New Hampshire"
2012,8845671,"New Jersey"
2012,2087715,"New Mexico"
2012,2744670,"Nevada"
2012,19574362,"New York"
2012,11550971,"Ohio"
2012,3819320,"Oklahoma"
2012,3900102,"Oregon"
2012,12769123,"Pennsylvania"
2012,1054893,"Rhode Island"
2012,4719027,"South Carolina"
2012,833859,"South Dakota"
2012,6455752,"Tennessee"
2012,26084120,"Texas"
2012,2854146,"Utah"
2012,8187456,"Virginia"
2012,626361,"Vermont"
2012,6898599,"Washington"
2012,5720825,"Wisconsin"
2012,1857446,"West Virginia"
2012,576656,"Wyoming"
2013,737626,"Alaska"
2013,4831586,"Alabama"
2013,2960459,"Arkansas"
2013,6634690,"Arizona"
2013,38253768,"California"
2013,5270774,"Colorado"
2013,3595792,"Connecticut"
2013,651559,"District of Columbia"
2013,924062,"Delaware"
2013,19551678,"Florida"
2013,9975592,"Georgia"
2013,1408822,"Hawaii"
2013,3093935,"Iowa"
2013,1612053,"Idaho"
2013,12895778,"Illinois"
2013,6570575,"Indiana"
2013,2894306,"Kansas"
2013,4406906,"Kentucky"
2013,4626040,"Louisiana"
2013,6715158,"Massachusetts"
2013,5925197,"Maryland"
2013,1328543,"Maine"
2013,9914802,"Michigan"
2013,5414722,"Minnesota"
2013,6042989,"Missouri"
2013,2989839,"Mississippi"
2013,1014158,"Montana"
2013,9846717,"North Carolina"
2013,723149,"North Dakota"
2013,1865813,"Nebraska"
2013,1327272,"New Hampshire"
2013,8857821,"New Jersey"
2013,2092833,"New Mexico"
2013,2776956,"Nevada"
2013,19626488,"New York"
2013,11579692,"Ohio"
2013,3853891,"Oklahoma"
2013,3924110,"Oregon"
2013,12779538,"Pennsylvania"
2013,1055560,"Rhode Island"
2013,4766469,"South Carolina"
2013,842751,"South Dakota"
2013,6496943,"Tennessee"
2013,26479646,"Texas"
2013,2898773,"Utah"
2013,8255861,"Virginia"
2013,626603,"Vermont"
2013,6966252,"Washington"
2013,5738012,"Wisconsin"
2013,1854768,"West Virginia"
2013,582620,"Wyoming"
2014,737075,"Alaska"
2014,4843737,"Alabama"
2014,2968759,"Arkansas"
2014,6732873,"Arizona"
2014,38586706,"California"
2014,5352637,"Colorado"
2014,3595697,"Connecticut"
2014,663603,"District of Columbia"
2014,933131,"Delaware"
2014,19853880,"Florida"
2014,10071204,"Georgia"
2014,1415335,"Hawaii"
2014,3110643,"Iowa"
2014,1632248,"Idaho"
2014,12885092,"Illinois"
2014,6596019,"Indiana"
2014,2901861,"Kansas"
2014,4416992,"Kentucky"
2014,4645938,"Louisiana"
2014,6764864,"Massachusetts"
2014,5960064,"Maryland"
2014,1331217,"Maine"
2014,9932033,"Michigan"
2014,5452665,"Minnesota"
2014,6059130,"Missouri"
2014,2991892,"Mississippi"
2014,1022657,"Montana"
2014,9937295,"North Carolina"
2014,738736,"North Dakota"
2014,1879955,"Nebraska"
2014,1334257,"New Hampshire"
2014,8867277,"New Jersey"
2014,2090236,"New Mexico"
2014,2818935,"Nevada"
2014,19653431,"New York"
2014,11606573,"Ohio"
2014,3879187,"Oklahoma"
2014,3965447,"Oregon"
2014,12792392,"Pennsylvania"
2014,1056511,"Rhode Island"
2014,4826858,"South Carolina"
2014,849670,"South Dakota"
2014,6544617,"Tennessee"
2014,26963092,"Texas"
2014,2938327,"Utah"
2014,8315430,"Virginia"
2014,625693,"Vermont"
2014,7057531,"Washington"
2014,5753199,"Wisconsin"
2014,1850569,"West Virginia"
2014,583159,"Wyoming"
2015,738430,"Alaska"
2015,4854803,"Alabama"
2015,2979732,"Arkansas"
2015,6832810,"Arizona"
2015,38904296,"California"
2015,5454328,"Colorado"
2015,3588561,"Connecticut"
2015,677014,"District of Columbia"
2015,942065,"Delaware"
2015,20219111,"Florida"
2015,10183353,"Georgia"
2015,1422999,"Hawaii"
2015,3122541,"Iowa"
2015,1652495,"Idaho"
2015,12859585,"Illinois"
2015,6611442,"Indiana"
2015,2910717,"Kansas"
2015,4429126,"Kentucky"
2015,4666998,"Louisiana"
2015,6797484,"Massachusetts"
2015,5988528,"Maryland"
2015,1329098,"Maine"
2015,9934483,"Michigan"
2015,5484002,"Minnesota"
2015,6075411,"Missouri"
2015,2990231,"Mississippi"
2015,1031495,"Montana"
2015,10037218,"North Carolina"
2015,755537,"North Dakota"
2015,1892059,"Nebraska"
2015,1337480,"New Hampshire"
2015,8870312,"New Jersey"
2015,2090071,"New Mexico"
2015,2868531,"Nevada"
2015,19657321,"New York"
2015,11622315,"Ohio"
2015,3910518,"Oklahoma"
2015,4018542,"Oregon"
2015,12789838,"Pennsylvania"
2015,1056886,"Rhode Island"
2015,4896006,"South Carolina"
2015,854663,"South Dakota"
2015,6595354,"Tennessee"
2015,27468531,"Texas"
2015,2983626,"Utah"
2015,8367303,"Virginia"
2015,625810,"Vermont"
2015,7167287,"Washington"
2015,5762927,"Wisconsin"
2015,1843332,"West Virginia"
2015,586389,"Wyoming"
2016,742575,"Alaska"
2016,4866824,"Alabama"
2016,2991815,"Arkansas"
2016,6944767,"Arizona"
2016,39149186,"California"
2016,5543844,"Colorado"
2016,3579830,"Connecticut"
2016,687576,"District of Columbia"
2016,949989,"Delaware"
2016,20627237,"Florida"
2016,10308442,"Georgia"
2016,1428885,"Hawaii"
2016,3133210,"Iowa"
2016,1684036,"Idaho"
2016,12821709,"Illinois"
2016,6637898,"Indiana"
2016,2912977,"Kansas"
2016,4440306,"Kentucky"
2016,4681346,"Louisiana"
2016,6827280,"Massachusetts"
2016,6007014,"Maryland"
2016,1332348,"Maine"
2016,9954117,"Michigan"
2016,5525360,"Minnesota"
2016,6091384,"Missouri"
2016,2990595,"Mississippi"
2016,1042137,"Montana"
2016,10161802,"North Carolina"
2016,756114,"North Dakota"
2016,1906483,"Nebraska"
2016,1343694,"New Hampshire"
2016,8873584,"New Jersey"
2016,2092555,"New Mexico"
2016,2919555,"Nevada"
2016,19636391,"New York"
2016,11640060,"Ohio"
2016,3928143,"Oklahoma"
2016,4093271,"Oregon"
2016,12788468,"Pennsylvania"
2016,1057816,"Rhode Island"
2016,4963031,"South Carolina"
2016,863693,"South Dakota"
2016,6651277,"Tennessee"
2016,27914064,"Texas"
2016,3044241,"Utah"
2016,8417651,"Virginia"
2016,624366,"Vermont"
2016,7299961,"Washington"
2016,5775170,"Wisconsin"
2016,1832435,"West Virginia"
2016,585243,"Wyoming"
2017,740983,"Alaska"
2017,4877989,"Alabama"
2017,3003855,"Arkansas"
2017,7048088,"Arizona"
2017,39337785,"California"
2017,5617421,"Colorado"
2017,3575324,"Connecticut"
2017,697079,"District of Columbia"
2017,957942,"Delaware"
2017,20977089,"Florida"
2017,10417031,"Georgia"
2017,1425763,"Hawaii"
2017,3143734,"Iowa"
2017,1719745,"Idaho"
2017,12779893,"Illinois"
2017,6662068,"Indiana"
2017,2910892,"Kansas"
2017,4455590,"Kentucky"
2017,4673673,"Louisiana"
2017,6863560,"Massachusetts"
2017,6028186,"Maryland"
2017,1335743,"Maine"
2017,9976752,"Michigan"
2017,5569283,"Minnesota"
2017,6111382,"Missouri"
2017,2990674,"Mississippi"
2017,1053862,"Montana"
2017,10275758,"North Carolina"
2017,756755,"North Dakota"
2017,1916998,"Nebraska"
2017,1350395,"New Hampshire"
2017,8888147,"New Jersey"
2017,2092844,"New Mexico"
2017,2972097,"Nevada"
2017,19593849,"New York"
2017,11665706,"Ohio"
2017,3933602,"Oklahoma"
2017,4147294,"Oregon"
2017,12794679,"Pennsylvania"
2017,1056554,"Rhode Island"
2017,5027102,"South Carolina"
2017,873732,"South Dakota"
2017,6714748,"Tennessee"
2017,28291024,"Texas"
2017,3103540,"Utah"
2017,8471011,"Virginia"
2017,625132,"Vermont"
2017,7427951,"Washington"
2017,5793147,"Wisconsin"
2017,1818683,"West Virginia"
2017,579994,"Wyoming"
2018,736624,"Alaska"
2018,4891628,"Alabama"
2018,3012161,"Arkansas"
2018,7164228,"Arizona"
2018,39437463,"California"
2018,5697155,"Colorado"
2018,3574561,"Connecticut"
2018,704147,"District of Columbia"
2018,966985,"Delaware"
2018,21254926,"Florida"
2018,10519389,"Georgia"
2018,1423102,"Hawaii"
2018,3149900,"Iowa"
2018,1752074,"Idaho"
2018,12724685,"Illinois"
2018,6698481,"Indiana"
2018,2912748,"Kansas"
2018,4464273,"Kentucky"
2018,4664450,"Louisiana"
2018,6885720,"Massachusetts"
2018,6042153,"Maryland"
2018,1340123,"Maine"
2018,9987286,"Michigan"
2018,5608762,"Minnesota"
2018,6125986,"Missouri"
2018,2982879,"Mississippi"
2018,1061818,"Montana"
2018,10391358,"North Carolina"
2018,760062,"North Dakota"
2018,1925512,"Nebraska"
2018,1355064,"New Hampshire"
2018,8891730,"New Jersey"
2018,2093754,"New Mexico"
2018,3030725,"Nevada"
2018,19544098,"New York"
2018,11680892,"Ohio"
2018,3943488,"Oklahoma"
2018,4183538,"Oregon"
2018,12809107,"Pennsylvania"
2018,1059338,"Rhode Island"
2018,5091702,"South Carolina"
2018,879386,"South Dakota"
2018,6778180,"Tennessee"
2018,28624564,"Texas"
2018,3155153,"Utah"
2018,8510920,"Virginia"
2018,624802,"Vermont"
2018,7526793,"Washington"
2018,5809319,"Wisconsin"
2018,1805953,"West Virginia"
2018,579054,"Wyoming"
2019,733603,"Alaska"
2019,4907965,"Alabama"
2019,3020985,"Arkansas"
2019,7291843,"Arizona"
2019,39437610,"California"
2019,5758486,"Colorado"
2019,3566022,"Connecticut"
2019,708253,"District of Columbia"
2019,976668,"Delaware"
2019,21492056,"Florida"
2019,10628020,"Georgia"
2019,1415615,"Hawaii"
2019,3159596,"Iowa"
2019,1789060,"Idaho"
2019,12667017,"Illinois"
2019,6731010,"Indiana"
2019,2912635,"Kansas"
2019,4472345,"Kentucky"
2019,4658285,"Louisiana"
2019,6894883,"Massachusetts"
2019,6054954,"Maryland"
2019,1345770,"Maine"
2019,9984795,"Michigan"
2019,5640053,"Minnesota"
2019,6140475,"Missouri"
2019,2978227,"Mississippi"
2019,1070123,"Montana"
2019,10501384,"North Carolina"
2019,763724,"North Dakota"
2019,1932571,"Nebraska"
2019,1360783,"New Hampshire"
2019,8891258,"New Jersey"
2019,2099634,"New Mexico"
2019,3090771,"Nevada"
2019,19463131,"New York"
2019,11696507,"Ohio"
2019,3960676,"Oklahoma"
2019,4216116,"Oregon"
2019,12798883,"Pennsylvania"
2019,1058158,"Rhode Island"
2019,5157702,"South Carolina"
2019,887127,"South Dakota"
2019,6830325,"Tennessee"
2019,28986794,"Texas"
2019,3203383,"Utah"
2019,8556642,"Virginia"
2019,624046,"Vermont"
2019,7614024,"Washington"
2019,5824581,"Wisconsin"
2019,1795263,"West Virginia"
2019,580116,"Wyoming"
2020,732964,"Alaska"
2020,5031864,"Alabama"
2020,3014348,"Arkansas"
2020,7186683,"Arizona"
2020,39503200,"California"
2020,5785219,"Colorado"
2020,3577586,"Connecticut"
2020,670839,"District of Columbia"
2020,991862,"Delaware"
2020,21591299,"Florida"
2020,10732390,"Georgia"
2020,1451181,"Hawaii"
2020,3190904,"Iowa"
2020,1849339,"Idaho"
2020,12790357,"Illinois"
2020,6789098,"Indiana"
2020,2938124,"Kansas"
2020,4508155,"Kentucky"
2020,4652022,"Louisiana"
2020,6997713,"Massachusetts"
2020,6173689,"Maryland"
2020,1364517,"Maine"
2020,10070627,"Michigan"
2020,5710578,"Minnesota"
2020,6154426,"Missouri"
2020,2958409,"Mississippi"
2020,1087211,"Montana"
2020,10453812,"North Carolina"
2020,779563,"North Dakota"
2020,1963273,"Nebraska"
2020,1378702,"New Hampshire"
2020,9272392,"New Jersey"
2020,2118488,"New Mexico"
2020,3115840,"Nevada"
2020,20104710,"New York"
2020,11798292,"Ohio"
2020,3965234,"Oklahoma"
2020,4245044,"Oregon"
2020,12995477,"Pennsylvania"
2020,1096444,"Rhode Island"
2020,5132151,"South Carolina"
2020,887852,"South Dakota"
2020,6926091,"Tennessee"
2020,29234361,"Texas"
2020,3283982,"Utah"
2020,8637193,"Virginia"
2020,642936,"Vermont"
2020,7724566,"Washington"
2020,5896700,"Wisconsin"
2020,1791562,"West Virginia"
2020,577664,"Wyoming"
2021,734923,"Alaska"
2021,5050380,"Alabama"
2021,3028443,"Arkansas"
2021,7272487,"Arizona"
2021,39145060,"California"
2021,5811596,"Colorado"
2021,3603691,"Connecticut"
2021,669037,"District of Columbia"
2021,1004881,"Delaware"
2021,21830708,"Florida"
2021,10790385,"Georgia"
2021,1446745,"Hawaii"
2021,3197944,"Iowa"
2021,1904537,"Idaho"
2021,12690341,"Illinois"
2021,6813798,"Indiana"
2021,2937946,"Kansas"
2021,4507600,"Kentucky"
2021,4627047,"Louisiana"
2021,6991951,"Massachusetts"
2021,6175045,"Maryland"
2021,1378787,"Maine"
2021,10038117,"Michigan"
2021,5717968,"Minnesota"
2021,6170393,"Missouri"
2021,2949582,"Mississippi"
2021,1106366,"Montana"
2021,10567100,"North Carolina"
2021,777982,"North Dakota"
2021,1964253,"Nebraska"
2021,1387494,"New Hampshire"
2021,9269175,"New Jersey"
2021,2116950,"New Mexico"
2021,3146632,"Nevada"
2021,19854526,"New York"
2021,11765227,"Ohio"
2021,3991634,"Oklahoma"
2021,4256465,"Oregon"
2021,13013614,"Pennsylvania"
2021,1097092,"Rhode Island"
2021,5193848,"South Carolina"
2021,896299,"South Dakota"
2021,6963709,"Tennessee"
2021,29561286,"Texas"
2021,3339284,"Utah"
2021,8657348,"Virginia"
2021,647093,"Vermont"
2021,7741433,"Washington"
2021,5879978,"Wisconsin"
2021,1785249,"West Virginia"
2021,579548,"Wyoming"
2022,733276,"Alaska"
2022,5073903,"Alabama"
2022,3046404,"Arkansas"
2022,7365684,"Arizona"
2022,39040616,"California"
2022,5841039,"Colorado"
2022,3608706,"Connecticut"
2022,670949,"District of Columbia"
2022,1019459,"Delaware"
2022,22245521,"Florida"
2022,10913150,"Georgia"
2022,1439399,"Hawaii"
2022,3199693,"Iowa"
2022,1938996,"Idaho"
2022,12582515,"Illinois"
2022,6832274,"Indiana"
2022,2936716,"Kansas"
2022,4511563,"Kentucky"
2022,4588023,"Louisiana"
2022,6982740,"Massachusetts"
2022,6163981,"Maryland"
2022,1389338,"Maine"
2022,10033281,"Michigan"
2022,5714300,"Minnesota"
2022,6177168,"Missouri"
2022,2938928,"Mississippi"
2022,1122878,"Montana"
2022,10695965,"North Carolina"
2022,778912,"North Dakota"
2022,1968060,"Nebraska"
2022,1399003,"New Hampshire"
2022,9260817,"New Jersey"
2022,2113476,"New Mexico"
2022,3177421,"Nevada"
2022,19673200,"New York"
2022,11759697,"Ohio"
2022,4019271,"Oklahoma"
2022,4239379,"Oregon"
2022,12972091,"Pennsylvania"
2022,1093842,"Rhode Island"
2022,5282955,"South Carolina"
2022,909869,"South Dakota"
2022,7048976,"Tennessee"
2022,30029848,"Texas"
2022,3381236,"Utah"
2022,8679099,"Virginia"
2022,647110,"Vermont"
2022,7784477,"Washington"
2022,5890543,"Wisconsin"
2022,1774035,"West Virginia"
2022,581629,"Wyoming"
2023,733406,"Alaska"
2023,5108468,"Alabama"
2023,3067732,"Arkansas"
2023,7431344,"Arizona"
2023,38965193,"California"
2023,5877610,"Colorado"
2023,3617176,"Connecticut"
2023,678972,"District of Columbia"
2023,1031890,"Delaware"
2023,22610726,"Florida"
2023,11029227,"Georgia"
2023,1435138,"Hawaii"
2023,3207004,"Iowa"
2023,1964726,"Idaho"
2023,12549689,"Illinois"
2023,6862199,"Indiana"
2023,2940546,"Kansas"
2023,4526154,"Kentucky"
2023,4573749,"Louisiana"
2023,7001399,"Massachusetts"
2023,6180253,"Maryland"
2023,1395722,"Maine"
2023,10037261,"Michigan"
2023,5737915,"Minnesota"
2023,6196156,"Missouri"
2023,2939690,"Mississippi"
2023,1132812,"Montana"
2023,10835491,"North Carolina"
2023,783926,"North Dakota"
2023,1978379,"Nebraska"
2023,1402054,"New Hampshire"
2023,9290841,"New Jersey"
2023,2114371,"New Mexico"
2023,3194176,"Nevada"
2023,19571216,"New York"
2023,11785935,"Ohio"
2023,4053824,"Oklahoma"
2023,4233358,"Oregon"
2023,12961683,"Pennsylvania"
2023,1095962,"Rhode Island"
2023,5373555,"South Carolina"
2023,919318,"South Dakota"
2023,7126489,"Tennessee"
2023,30503301,"Texas"
2023,3417734,"Utah"
2023,8715698,"Virginia"
2023,647464,"Vermont"
2023,7812880,"Washington"
2023,5910955,"Wisconsin"
2023,1770071,"West Virginia"
2023,584057,"Wyoming"
